Año;Sede Nodal;Población;Nivel;Día;Jornada;Matriculados;Etapa;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Infantil;1;Sábado;Mañana;28;1;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Infantil;1;Sábado;Tarde;27;1;;;;;;;;;
2019;Eduardo Uribe Botero;Inglés Infantil;1;Sábado;Mañana;22;1;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Infantil;3;Sábado;Tarde;16;1;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Infantil;3;Sábado;Mañana;16;1;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Infantil;3;Sábado;Tarde;9;1;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Infantil;3;Sábado;Mañana;15;1;;;;;;;;;
2019;Gilberto Echeverri Mejía;Inglés Infantil;3;Sábado;Mañana;23;1;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Infantil;3;Sábado;Tarde;13;1;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Infantil;3;Sábado;Mañana;14;1;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Niños;1;Sábado;Tarde;25;1;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Niños;1;Sábado;Mañana;21;1;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Niños;1;Sábado;Tarde;30;1;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Niños;1;Sábado;Mañana;27;1;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Niños;1;Sábado;Tarde;29;1;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Niños;3;Sábado;Tarde;11;1;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Niños;3;Sábado;Tarde;10;1;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Niños;3;Sábado;Mañana;22;1;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Niños;3;Sábado;Mañana;21;1;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Niños;5;Sábado;Mañana;25;1;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Niños;5;Sábado;Tarde;11;1;;;;;;;;;
2019;Gilberto Echeverri Mejía;Inglés Niños;5;Sábado;Mañana;8;1;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Niños;5;Sábado;Tarde;15;1;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Adolescentes;1;Sábado;Mañana;27;1;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Adolescentes;1;Sábado;Tarde;31;1;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;1;Sábado;Tarde;21;1;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;1;Sábado;Tarde;22;1;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;1;Sábado;Mañana;28;1;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Adolescentes;3;Sábado;Tarde;15;1;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Adolescentes;3;Sábado;Mañana;22;1;;;;Cifras Escuela Nueva 2019;;;;;
2019;Concejo Municipal El Porvenir;Inglés Adolescentes;3;Sábado;Mañana;26;1;;;;Institución educativa;Sede;Grupo 1;Grupo 2;Grupo 3;TOTAL
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;3;Sábado;Tarde;14;1;;;;Ana Gómez de Sierra;Mampuesto;18;10;;28
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;3;Sábado;Mañana;27;1;;;;Antonio Donado Camacho;Tablacito;15;26;;41
2019;Baldomero Sanín Cano;Inglés Adolescentes;5;Sábado;Tarde;12;1;;;;La Mosquita;Gonzalo Aristizábal;15;21;;36
2019;Concejo Municipal El Porvenir;Inglés Adolescentes;5;Sábado;Mañana;14;1;;;;San Antonio;Vilachuaga;15;;;15
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;5;Sábado;Tarde;13;1;;;;San Antonio;Santa Teresa;16;;;16
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;5;Sábado;Mañana;12;1;;;;TOTAL ESTUDIANTES;;;;;136
2019;Baldomero Sanín Cano;Inglés Infantil;2;Sábado;Mañana;27;2;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Infantil;2;Sábado;Tarde;24;2;;;;;;;;;
2019;Eduardo Uribe Botero;Inglés Infantil;2;Sábado;Mañana;17;2;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Infantil;4;Sábado;Tarde;16;2;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Infantil;4;Sábado;Mañana;15;2;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Infantil;4;Sábado;Tarde;9;2;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Infantil;4;Sábado;Mañana;15;2;;;;;;;;;
2019;Gilberto Echeverri Mejía;Inglés Infantil;4;Sábado;Mañana;22;2;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Infantil;4;Sábado;Tarde;13;2;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Infantil;4;Sábado;Mañana;14;2;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Niños;2;Sábado;Tarde;24;2;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Niños;2;Sábado;Mañana;18;2;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Niños;2;Sábado;Tarde;27;2;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Niños;2;Sábado;Mañana;26;2;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Niños;2;Sábado;Tarde;27;2;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Niños;4;Sábado;Tarde;10;2;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Niños;4;Sábado;Tarde;11;2;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Niños;4;Sábado;Mañana;22;2;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Niños;4;Sábado;Mañana;19;2;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Niños;6;Sábado;Mañana;23;2;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Niños;6;Sábado;Tarde;11;2;;;;;;;;;
2019;Gilberto Echeverri Mejía;Inglés Niños;6;Sábado;Mañana;7;2;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Niños;6;Sábado;Tarde;15;2;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Adolescentes;2;Sábado;Mañana;24;2;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Adolescentes;2;Sábado;Tarde;20;2;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;2;Sábado;Tarde;18;2;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;2;Sábado;Tarde;21;2;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;2;Sábado;Mañana;26;2;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Adolescentes;4;Sábado;Tarde;14;2;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Adolescentes;4;Sábado;Mañana;19;2;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Adolescentes;4;Sábado;Mañana;25;2;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;4;Sábado;Tarde;11;2;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;4;Sábado;Mañana;23;2;;;;;;;;;
2019;Baldomero Sanín Cano;Inglés Adolescentes;6;Sábado;Tarde;12;2;;;;;;;;;
2019;Concejo Municipal El Porvenir;Inglés Adolescentes;6;Sábado;Mañana;14;2;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;6;Sábado;Tarde;13;2;;;;;;;;;
2019;Técnico Industrial Santiago de Arma;Inglés Adolescentes;6;Sábado;Mañana;11;2;;;;;;;;;